Product_ID,Product_Name,Price,Per
101,kathi kabab rumali roti,130,Plate
102,extra rumali roti,15,pc
201,aloo bedmi,50,plate
202,chole bhature,70,plate
203,chole puri,60,plate
204,kachori sabji,34,plate
301,samosa,12,pc
302,shahi samosa,20,pc
303,pyaaz kachori,25,pc
304,dal kachori,15,pc
305,paneer pakoda,22,pc
306,bread pakoda,15,pc
307,paneer cutlet,22,pc
308,dhokla,180,kg
309,khandvi dhokla,240,kg
310,matar samosa,240,kg
401,veg sandwich,25,pc
402,sweetcorn sandwich,30,pc
403,spl veg sandwich,60,pc
404,grilled sandwich,30,pc
405,pasta sandwich,70,plate
406,chilli cheese pasta,60,plate
407,mix sauce pasta,60,plate
408,aloo burger,50,plate
409,veg cheese burger,70,pc
